Minstry,Department,Department Abb,Revenue,Capital,Total
MINISTRY OF FI0NCE,31. Department of Fi0ncial Services,TRY OF Fi,1739.05,4838.01,6577.06
MINISTRY OF FI0NCE,32. Department of Investment and Public Asset Ma0gement (DIPAM),,44,0,44
MINISTRY OF FI0NCE,33. Department of Revenue,TRY OF Department of Re,90728,8.44,90736.44
MINISTRY OF FI0NCE,34. Direct Taxes,,6728,252,6980
MINISTRY OF FI0NCE,35. Indirect Taxes,,7418,407,7825
MINISTRY OF FI0NCE,36. Indian Audit and Accounts Department,,4289.7,16,4305.7
MINISTRY OF FI0NCE,37. Interest Payments,TRY OF Interest Payment,575794.95,0,575794.95
MINISTRY OF FI0NCE,38. Repayment of Debt,TRY OF Repayment of Deb,0,0,0
MINISTRY OF FI0NCE,39. Pensions,,46430,0,46430
MINISTRY OF FI0NCE,40. Transfers to States,TRY OF Transfers to Sta,136873.5,5984,142857.5
MINISTRY OF FOOD PROCESSING INDUSTRIES,MINISTRY OF FOOD PROCESSING INDUSTRIES,M Foo,1400,0,1400
MINISTRY OF FOOD PROCESSING INDUSTRIES,41. Ministry of Food Processing Industries,,1400,0,1400
MINISTRY OF HEALTH AND FAMILY WELFARE,MINISTRY OF HEALTH AND FAMILY WELFARE,M Hea,51879.6,2720.4,54600
MINISTRY OF HEALTH AND FAMILY WELFARE,42. Department of Health and Family Welfare,,50079.6,2720.4,52800
MINISTRY OF HEALTH AND FAMILY WELFARE,43. Department of Health Research,AMILY He,1800,0,1800
MINISTRY OF HEAVY INDUSTRIES AND PUBLIC ENTERPRISES,MINISTRY OF HEAVY INDUSTRIES AND PUBLIC ENTERPRISES,M Hea,759.68,386.49,1146.17
MINISTRY OF HEAVY INDUSTRIES AND PUBLIC ENTERPRISES,44. Department of Heavy Industry,RIES AND PUBLIC He,739.24,386.49,1125.73
MINISTRY OF HEAVY INDUSTRIES AND PUBLIC ENTERPRISES,45. Department of Public Enterprises,RIES AND PUBLIC Pu,20.44,0,20.44
MINISTRY OF HOME AFFAIRS,MINISTRY OF HOME AFFAIRS,M Hom,94358.06,13214.73,107572.79
MINISTRY OF HOME AFFAIRS,46. Ministry of Home Affairs, HOME Home,4468.91,324.45,4793.36
MINISTRY OF HOME AFFAIRS,47. Cabinet,,770,0,770
MINISTRY OF HOME AFFAIRS,48. Police,,76838.31,11048.19,87886.5
MINISTRY OF HOME AFFAIRS,49. Andaman and Nicobar Islands, HOME Nico,3923,600.86,4523.86
MINISTRY OF HOME AFFAIRS,50. Chandigarh,,3739.8,345.03,4084.83
MINISTRY OF HOME AFFAIRS,51. Dadra and 0gar Haveli, HOME Dadra and 0gar H,796.1,318.34,1114.44
MINISTRY OF HOME AFFAIRS,52. Daman and Diu,,462.08,311.41,773.49
MINISTRY OF HOME AFFAIRS,53. Lakshadweep,,1093.86,266.45,1360.31
MINISTRY OF HOME AFFAIRS,54. Transfers to Delhi, HOME Transfers to Del,790,0,790
MINISTRY OF HOME AFFAIRS,55. Transfers to Puducherry, HOME Transfers to Pud,1476,0,1476
MINISTRY OF HOUSING AND URBAN AFFAIRS,MINISTRY OF HOUSING AND URBAN AFFAIRS,M Hou,25349.73,16415.4,41765.13
MINISTRY OF HOUSING AND URBAN AFFAIRS,56. Ministry of Housing and Urban Affairs,,25349.73,16415.4,41765.13
MINISTRY OF HUMAN RESOURCE DEVELOPMENT,MINISTRY OF HUMAN RESOURCE DEVELOPMENT,M Hum,82258.29,2752,85010.29
MINISTRY OF HUMAN RESOURCE DEVELOPMENT,57. Department of School Education and Literacy,,50000,0,50000
MINISTRY OF HUMAN RESOURCE DEVELOPMENT,58. Department of Higher Education,CE Hi,32258.29,2752,35010.29
MINISTRY OF INFORMATION AND BROADCASTING,MINISTRY OF INFORMATION AND BROADCASTING,M Inf,4065.58,23.4,4088.98
MINISTRY OF INFORMATION AND BROADCASTING,59. Ministry of Information and Broadcasting,AND Info,4065.58,23.4,4088.98
MINISTRY OF LABOUR AND EMPLOYMENT,MINISTRY OF LABOUR AND EMPLOYMENT,M Lab,7677.75,22.25,7700
MINISTRY OF LABOUR AND EMPLOYMENT,60. Ministry of Labour and Employment,MPLabo,7677.75,22.25,7700
MINISTRY OF LAW AND JUSTICE,MINISTRY OF LAW AND JUSTICE,M Law,3086.05,1819.3,4905.35
MINISTRY OF LAW AND JUSTICE,61. Law and Justice,,2586.33,1800,4386.33
MINISTRY OF LAW AND JUSTICE,62. Election Commission,ICElection Commiss,248.66,19.3,267.96
MINISTRY OF LAW AND JUSTICE,63. Supreme Court of India,ICCourt of,251.06,0,251.06
"MINISTRY OF MICRO, SMALL AND MEDIUM ENTERPRISES","MINISTRY OF MICRO, SMALL AND MEDIUM ENTERPRISES",M Mic,6540.04,12.57,6552.61
"MINISTRY OF MICRO, SMALL AND MEDIUM ENTERPRISES","64. Ministry of Micro, Small and Medium Enterprises",,6540.04,12.57,6552.61
MINISTRY OF MINES,MINISTRY OF MINES,M Min,1499.3,170.22,1669.52
MINISTRY OF MINES,65. Ministry of Mines,STRY OF Ministry of Mine,1499.3,170.22,1669.52
MINISTRY OF MINORITY AFFAIRS,MINISTRY OF MINORITY AFFAIRS,M Min,4534.96,165.04,4700
MINISTRY OF MINORITY AFFAIRS,66. Ministry of Minority Affairs,AIMino,4534.96,165.04,4700
MINISTRY OF NEW AND RENEWABLE ENERGY,MINISTRY OF NEW AND RENEWABLE ENERGY,M New,5106.23,40.4,5146.63
MINISTRY OF NEW AND RENEWABLE ENERGY,67. Ministry of New and Renewable Energy,,5106.23,40.4,5146.63
MINISTRY OF PANCHAYATI RAJ,MINISTRY OF PANCHAYATI RAJ,M Pan,825.17,0,825.17
MINISTRY OF PANCHAYATI RAJ,68. Ministry of Panchayati Raj,AJPanc,825.17,0,825.17
MINISTRY OF PARLIAMENTARY AFFAIRS,MINISTRY OF PARLIAMENTARY AFFAIRS,M Par,18.86,0,18.86
MINISTRY OF PARLIAMENTARY AFFAIRS,69. Ministry of Parliamentary Affairs,Y Parl,18.86,0,18.86
"MINISTRY OF PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS","MINISTRY OF PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",M Per,1475.58,84.03,1559.61
"MINISTRY OF PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS","70. Ministry of Personnel, Public Grievances and Pensions",,1442.97,84.03,1527
"MINISTRY OF PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",71. Central Vigilance Commission,UBLIC GRIEVANCES AND Vigilanc,32.61,0,32.61
MINISTRY OF PETROLEUM AND 0TURAL GAS,MINISTRY OF PETROLEUM AND 0TURAL GAS,M Pet,27391.55,3709,31100.55
MINISTRY OF PETROLEUM AND 0TURAL GAS,72. Ministry of Petroleum and 0tural Gas,D 0TURAL Petr,27391.55,3709,31100.55
MINISTRY OF PLANNING,MINISTRY OF PLANNING,Y OF OF PLANNING,338.97,0.68,339.65
MINISTRY OF PLANNING,73. Ministry of Planning,Y OF Ministry of Plan,338.97,0.68,339.65
MINISTRY OF POWER,MINISTRY OF POWER,M Pow,12835.47,2211.45,15046.92
MINISTRY OF POWER,74. Ministry of Power,STRY OF Ministry of Powe,12835.47,2211.45,15046.92
"THE PRESIDENT, PARLIAMENT, UNION PUBLIC SERVICE COMMISSION AND THE SECRETARIAT OF THE VICE PRESIDENT","THE PRESIDENT, PARLIAMENT, UNION PUBLIC SERVICE COMMISSION AND THE SECRETARIAT OF THE VICE PRESIDENT",T ,1526.14,0,1526.14
"THE PRESIDENT, PARLIAMENT, UNION PUBLIC SERVICE COMMISSION AND THE SECRETARIAT OF THE VICE PRESIDENT","75. Staff, Household and Allowances of the President",,60.05,0,60.05
"THE PRESIDENT, PARLIAMENT, UNION PUBLIC SERVICE COMMISSION AND THE SECRETARIAT OF THE VICE PRESIDENT",76. Lok Sabha,,774.97,0,774.97
"THE PRESIDENT, PARLIAMENT, UNION PUBLIC SERVICE COMMISSION AND THE SECRETARIAT OF THE VICE PRESIDENT",77. Rajya Sabha,,387.94,0,387.94
"THE PRESIDENT, PARLIAMENT, UNION PUBLIC SERVICE COMMISSION AND THE SECRETARIAT OF THE VICE PRESIDENT",78. Secretariat of the Vice-President,"T, UNION PUBLIC SERVICE COMMISSION AND THE SECRETARIAT OF THE VICE t",5.57,0,5.57
"THE PRESIDENT, PARLIAMENT, UNION PUBLIC SERVICE COMMISSION AND THE SECRETARIAT OF THE VICE PRESIDENT",79. Union Public Service Commission,,297.61,0,297.61
MINISTRY OF RAILWAYS,MINISTRY OF RAILWAYS,Y OF OF RAILWAYS,2028,53060,55088
MINISTRY OF RAILWAYS,80. Ministry of Railways,Y OF Ministry of Rail,2028,53060,55088
MINISTRY OF ROAD TRANSPORT AND HIGHWAYS,MINISTRY OF ROAD TRANSPORT AND HIGHWAYS,M Roa,11559.75,59440.25,71000
MINISTRY OF ROAD TRANSPORT AND HIGHWAYS,81. Ministry of Road Transport and Highways,,11559.75,59440.25,71000
MINISTRY OF RURAL DEVELOPMENT,MINISTRY OF RURAL DEVELOPMENT,M Rur,114910.07,5.25,114915.32
MINISTRY OF RURAL DEVELOPMENT,82. Department of Rural Development,PMRu,112398.67,5.25,112403.92
MINISTRY OF RURAL DEVELOPMENT,83. Department of Land Resources,PMLa,2511.4,0,2511.4
MINISTRY OF SCIENCE AND TECHNOLOGY,MINISTRY OF SCIENCE AND TECHNOLOGY,M Sci,12245.78,76.5,12322.28
MINISTRY OF SCIENCE AND TECHNOLOGY,84. Department of Science and Technology,Sc,5047.28,67.5,5114.78
MINISTRY OF SCIENCE AND TECHNOLOGY,85. Department of Biotechnology,Department of Bi,2411.53,0,2411.53
MINISTRY OF SCIENCE AND TECHNOLOGY,86. Department of Scientific and Industrial Research,,4786.97,9,4795.97
MINISTRY OF SHIPPING,MINISTRY OF SHIPPING,Y OF OF SHIPPING,1519.47,361.66,1881.13
MINISTRY OF SHIPPING,87. Ministry of Shipping,Y OF Ministry of Ship,1519.47,361.66,1881.13
MINISTRY OF SKILL DEVELOPMENT AND ENTREPRENEURSHIP,MINISTRY OF SKILL DEVELOPMENT AND ENTREPRENEURSHIP,M Ski,3141,259,3400
MINISTRY OF SKILL DEVELOPMENT AND ENTREPRENEURSHIP,88. Ministry of Skill Development and Entrepreneurship,,3141,259,3400
MINISTRY OF SOCIAL JUSTICE AND EMPOWERMENT,MINISTRY OF SOCIAL JUSTICE AND EMPOWERMENT,M Soc,8374.12,445.88,8820
MINISTRY OF SOCIAL JUSTICE AND EMPOWERMENT,89. Department of Social Justice and Empowerment,,7342.6,407.4,7750
MINISTRY OF SOCIAL JUSTICE AND EMPOWERMENT,90. Department of Empowerment of Persons with Disabilities,,1031.52,38.48,1070
DEPARMENT OF SPACE,DEPARMENT OF SPACE,D Sp,5496.18,5287.24,10783.42
DEPARMENT OF SPACE,91. Department of Space,MENT OF Department of Sp,5496.18,5287.24,10783.42
MINISTRY OF STATISTICS AND PROGRAMME IMPLEMENTATION,MINISTRY OF STATISTICS AND PROGRAMME IMPLEMENTATION,M Sta,4844,15,4859
MINISTRY OF STATISTICS AND PROGRAMME IMPLEMENTATION,92. Ministry of Statistics and Programme Implementation,,4844,15,4859
MINISTRY OF STEEL,MINISTRY OF STEEL,M Ste,47.9,0,47.9
MINISTRY OF STEEL,93. Ministry of Steel,STRY OF Ministry of Stee,47.9,0,47.9
MINISTRY OF TEXTILES,MINISTRY OF TEXTILES,Y OF OF TEXTILES,7109.84,37.89,7147.73
MINISTRY OF TEXTILES,94. Ministry of Textiles,Y OF Ministry of Text,7109.84,37.89,7147.73
MINISTRY OF TOURISM,MINISTRY OF TOURISM,M Tou,2149.99,0.01,2150
MINISTRY OF TOURISM,95. Ministry of Tourism,RY OF Ministry of Tour,2149.99,0.01,2150
MINISTRY OF TRIBAL AFFAIRS,MINISTRY OF TRIBAL AFFAIRS,M Tri,5935,65,6000
MINISTRY OF TRIBAL AFFAIRS,96. Ministry of Tribal Affairs,RSTrib,5935,65,6000
"MINISTRY OF WATER RESOURCES, RIVER DEVELOPMENT AND GANGA REJUVE0TION","MINISTRY OF WATER RESOURCES, RIVER DEVELOPMENT AND GANGA REJUVE0TION",M Wat,8152.14,707.86,8860
"MINISTRY OF WATER RESOURCES, RIVER DEVELOPMENT AND GANGA REJUVE0TION","97. Ministry of Water Resources, River Development and Ganga Rejuve0tion",,8152.14,707.86,8860
MINISTRY OF WOMEN AND CHILD DEVELOPMENT,MINISTRY OF WOMEN AND CHILD DEVELOPMENT,M Wom,24699.99,0.01,24700
MINISTRY OF WOMEN AND CHILD DEVELOPMENT,98. Ministry of Women and Child Development,,24699.99,0.01,24700
MINISTRY OF YOUTH AFFAIRS AND SPORTS,MINISTRY OF YOUTH AFFAIRS AND SPORTS,M You,2138.31,58.04,2196.35
MINISTRY OF YOUTH AFFAIRS AND SPORTS,99. Ministry of Youth Affairs and Sports,,2138.31,58.04,2196.35
GRAND TOTAL,GRAND TOTAL,,2141772,300441.3,2442213.3
